config_item_id,ci_name,install_status,model_id_classification,company,department,owned_by,owned_by_company,owned_by_department,email
4287522129,nt2pm6oec9gpy6,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
6698139454,kqczovznmfy8hj,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
2696950217,co4rxs717jx0y9,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
9059755279,9zqkdaznx3ze76,Installed,Server,GE Digital,DIG Engineering,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
1021417365,lf6xkpxk8nmnl5,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
6897295345,nryo5ptyvwlfdk,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
4308807980,b40hly9fvxignu,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
5118849965,270zq4ug8mhc6u,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
3098782333,wa09f0y1rhba02,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
5053911720,o5zg5nxh5rhggs,Installed,Server,GE Digital,Digital Support,"Hollowell, Leila (786378182)",GE Digital,Digital Risk Staff,leila.hollowell@company.com
3143945354,3onddt2prt61st,Installed,Server,GE Digital,Digital Technology,Maryrose Nicastro (174805124),GE Digital,Digital Technology,nicastro.maryrose@company.com
3418196034,tds6m0wcbiz1lo,Installed,Server,GE Digital,Digital Risk Staff,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
8203345319,495cb17d6jy8st,Installed,Server,GE Digital,Digital Quality,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
4413909928,9ry0guvbb4u2b9,Installed,Server,GE Digital,Digital Quality,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
1272319706,pi0g056s8i0wud,Installed,Server,GE Digital,Digital Risk Staff,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
2176934830,6y7gkb35g3kx91,Installed,Server,GE Digital,Digital Risk Staff,"Miotti, Steve (465884178)",GE Digital,Digital Risk Staff,steve.miotti@company.com
4075865918,9xzhqvwdgpgiyn,Installed,Server,GE Digital,Digital Risk Staff,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
5669327599,lz0sb6id5vu7oe,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
1953718724,dxygnh1lkevyba,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
7868924132,jpgcubbd9e9na8,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
4798088559,tp3usl2aj01sr8,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
4172494167,pjojh5hyoqyfy7,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,Digital Technology,steve.miotti@company.com
3337664917,f3y8y3s20c1a4h,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
2807807382,dyy3n9ahur7072,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
6187769784,ikva8ug8zhig5n,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
2370915188,rbntxnjd3optzj,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,Digital Technology,steve.miotti@company.com
1977509213,f5gssb8hiuqiqp,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,DIG Engineering,steve.miotti@company.com
5518302751,5kmdaag6l2r78c,Installed,Server,GE Digital,Digital Technology,"Miotti, Steve (465884178)",GE Digital,Digital Technology,steve.miotti@company.com
